id,module_id,key,title,icon,route,api_resource,screen_type,sort_order,created_at,updated_at,is_active
40,7,customer-payments,تحصيلات العملاء,payments,/admin/customer-payments,customer-payments,resource,4,2026-06-16 05:12:23,2026-06-16 05:12:23,1
41,8,suppliers,الموردون,factory,/admin/suppliers,suppliers,resource,0,2026-06-16 05:12:23,2026-06-16 05:12:23,1
42,8,supplier-offers,عروض الموردين,description,/admin/supplier-offers,supplier-offers,resource,1,2026-06-16 05:12:23,2026-06-16 05:12:23,1
43,8,purchase-orders,أوامر الشراء,shopping_bag,/admin/purchase-orders,purchase-orders,resource,2,2026-06-16 05:12:23,2026-06-16 05:12:23,1
44,8,purchases,فواتير الشراء,receipt,/admin/purchases,purchases,resource,3,2026-06-16 05:12:23,2026-06-16 05:12:23,1
45,8,purchase-returns,مرتجعات الشراء,undo,/admin/purchase-returns,purchase-returns,resource,4,2026-06-16 05:12:23,2026-06-16 05:12:23,1
46,9,chart-of-accounts,دليل الحسابات,account_tree,/admin/chart-of-accounts,chart-of-accounts,resource,0,2026-06-16 05:12:23,2026-06-16 05:12:23,1
47,9,cashboxes,الصندوق,point_of_sale,/admin/cashboxes,cashboxes,resource,1,2026-06-16 05:12:23,2026-06-16 05:12:23,1
48,9,banks,البنوك,account_balance,/admin/banks,banks,resource,2,2026-06-16 05:12:23,2026-06-16 05:12:23,1
49,9,cash-transactions,حركات الصناديق,payments,/admin/cash-transactions,cash-transactions,resource,3,2026-06-16 05:12:23,2026-06-16 05:12:23,1
50,9,bank-transactions,حركات البنوك,currency_exchange,/admin/bank-transactions,bank-transactions,resource,4,2026-06-16 05:12:23,2026-06-16 05:12:23,1
51,9,receipt-vouchers,سند قبض,download,/admin/receipt-vouchers,receipt-vouchers,resource,5,2026-06-16 05:12:23,2026-06-16 05:12:23,1
52,9,payment-vouchers,سند صرف,upload,/admin/payment-vouchers,payment-vouchers,resource,6,2026-06-16 05:12:23,2026-06-16 05:12:23,1
53,9,journal-entries,القيود اليومية,menu_book,/admin/journal-entries,journal-entries,resource,7,2026-06-16 05:12:23,2026-06-16 05:12:23,1
54,9,trial-balance,ميزان المراجعة,balance,/admin/trial-balance,trial-balance,resource,8,2026-06-16 05:12:23,2026-06-16 05:12:23,1
55,10,company-settings,بيانات الشركة,business,/admin/company-settings,company-settings,resource,0,2026-06-16 05:12:23,2026-06-16 05:12:23,1
56,10,governorates,المحافظات,public,/admin/governorates,governorates,resource,1,2026-06-16 05:12:23,2026-06-16 05:12:23,1
57,10,cities,المدن,location_city,/admin/cities,cities,resource,2,2026-06-16 05:12:23,2026-06-16 05:12:23,1
58,10,districts,الأحياء,place,/admin/districts,districts,resource,3,2026-06-16 05:12:23,2026-06-16 05:12:23,1
59,10,areas,المناطق,map,/admin/areas,areas,resource,4,2026-06-16 05:12:23,2026-06-16 05:12:23,1
60,10,streets,الشوارع,route,/admin/streets,streets,resource,5,2026-06-16 05:12:23,2026-06-16 05:12:23,1
61,10,tax-types,أنواع الضرائب,percent,/admin/tax-types,tax-types,resource,6,2026-06-16 05:12:23,2026-06-16 05:12:23,1
62,10,currencies,العملات,currency_exchange,/admin/currencies,currencies,resource,7,2026-06-16 05:12:23,2026-06-16 05:12:23,1
63,10,fiscal-years,سنوات العمل,calendar_month,/admin/fiscal-years,fiscal-years,resource,8,2026-06-16 05:12:23,2026-06-16 05:12:23,1
64,11,sales-reports,تقارير المبيعات,trending_up,/admin/sales-reports,,reports,0,2026-06-16 05:12:23,2026-06-16 05:12:23,1
65,11,purchase-reports,تقارير المشتريات,shopping_bag,/admin/purchase-reports,,reports,1,2026-06-16 05:12:23,2026-06-16 05:12:23,1
66,11,inventory-reports,تقارير المخزون,inventory,/admin/inventory-reports,,reports,2,2026-06-16 05:12:23,2026-06-16 05:12:23,1
67,11,customer-reports,تقارير العملاء,people_alt,/admin/customer-reports,,reports,3,2026-06-16 05:12:23,2026-06-16 05:12:23,1
68,11,rep-reports,تقارير المندوبين,local_shipping,/admin/rep-reports,,reports,4,2026-06-16 05:12:23,2026-06-16 05:12:23,1
69,11,financial-reports,التقارير المالية,assessment,/admin/financial-reports,,reports,5,2026-06-16 05:12:23,2026-06-16 05:12:23,1
